tourney_id,tourney_name,surface,draw_size,winner_ht,winner_age,winner_rank,winner_rank_points,winner_ioc
2008-440,s-Hertogenbosch,Grass,32,180.0,32.1423682409,97.0,469.0,GER
2008-440,s-Hertogenbosch,Grass,32,198.0,19.7289527721,65.0,578.0,ARG
2008-440,s-Hertogenbosch,Grass,32,185.0,30.5571526352,46.0,770.0,ARG
2008-440,s-Hertogenbosch,Grass,32,190.0,28.2847364819,292.0,122.0,IND
2008-440,s-Hertogenbosch,Grass,32,193.0,22.3463381246,100.0,447.0,SRB
2008-440,s-Hertogenbosch,Grass,32,193.0,29.2457221081,26.0,1080.0,CRO
2008-440,s-Hertogenbosch,Grass,32,185.0,24.925393566100002,37.0,910.0,RUS
2008-440,s-Hertogenbosch,Grass,32,183.0,27.069130732399998,82.0,514.0,AUT
2008-440,s-Hertogenbosch,Grass,32,188.0,31.2142368241,60.0,619.0,FRA
2008-440,s-Hertogenbosch,Grass,32,185.0,21.9958932238,9.0,1625.0,FRA
2008-440,s-Hertogenbosch,Grass,32,175.0,26.206707734400002,5.0,2905.0,ESP
2008-440,s-Hertogenbosch,Grass,32,196.0,24.213552361399998,43.0,825.0,CRO
2008-440,s-Hertogenbosch,Grass,32,173.0,30.496919917899998,117.0,397.0,FRA
2008-440,s-Hertogenbosch,Grass,32,198.0,19.7289527721,65.0,578.0,ARG
2008-440,s-Hertogenbosch,Grass,32,185.0,30.5571526352,46.0,770.0,ARG
2008-440,s-Hertogenbosch,Grass,32,193.0,22.3463381246,100.0,447.0,SRB
2008-440,s-Hertogenbosch,Grass,32,183.0,27.069130732399998,82.0,514.0,AUT
2008-440,s-Hertogenbosch,Grass,32,188.0,31.2142368241,60.0,619.0,FRA
2008-440,s-Hertogenbosch,Grass,32,175.0,26.206707734400002,5.0,2905.0,ESP
2008-440,s-Hertogenbosch,Grass,32,198.0,19.7289527721,65.0,578.0,ARG
2008-440,s-Hertogenbosch,Grass,32,185.0,30.5571526352,46.0,770.0,ARG
2008-440,s-Hertogenbosch,Grass,32,188.0,31.2142368241,60.0,619.0,FRA
2008-440,s-Hertogenbosch,Grass,32,175.0,26.206707734400002,5.0,2905.0,ESP
2008-440,s-Hertogenbosch,Grass,32,188.0,31.2142368241,60.0,619.0,FRA
2008-440,s-Hertogenbosch,Grass,32,175.0,26.206707734400002,5.0,2905.0,ESP
2008-439,Umag,Clay,28,183.0,23.3620807666,185.0,220.0,FRA
2008-439,Umag,Clay,28,190.0,20.8952772074,89.0,495.0,GER
2008-439,Umag,Clay,28,180.0,30.028747433299998,79.0,531.0,BRA
2008-439,Umag,Clay,28,193.0,22.4229979466,86.0,510.0,SRB
2008-439,Umag,Clay,28,183.0,26.855578371,138.0,340.0,ITA
2008-439,Umag,Clay,28,178.0,21.1416837782,73.0,559.0,ITA
2008-439,Umag,Clay,28,185.0,30.633812457199998,55.0,735.0,ARG
2008-439,Umag,Clay,28,180.0,25.6947296372,130.0,364.0,SRB
2008-439,Umag,Clay,28,185.0,22.934976043800003,114.0,418.0,ESP
2008-439,Umag,Clay,28,193.0,29.3223819302,38.0,910.0,CRO
2008-439,Umag,Clay,28,183.0,25.856262833699997,108.0,439.0,CRO
2008-439,Umag,Clay,28,175.0,24.985626283400002,101.0,472.0,ARG
2008-439,Umag,Clay,28,188.0,24.662559890500003,15.0,1375.0,ESP
2008-439,Umag,Clay,28,190.0,20.8952772074,89.0,495.0,GER
2008-439,Umag,Clay,28,190.0,31.8795345654,27.0,1040.0,ESP
2008-439,Umag,Clay,28,178.0,21.1416837782,73.0,559.0,ITA
2008-439,Umag,Clay,28,185.0,30.633812457199998,55.0,735.0,ARG
2008-439,Umag,Clay,28,185.0,25.0020533881,30.0,985.0,RUS
2008-439,Umag,Clay,28,183.0,25.856262833699997,108.0,439.0,CRO
2008-439,Umag,Clay,28,175.0,24.985626283400002,101.0,472.0,ARG
2008-439,Umag,Clay,28,188.0,24.662559890500003,15.0,1375.0,ESP
2008-439,Umag,Clay,28,178.0,21.1416837782,73.0,559.0,ITA
2008-439,Umag,Clay,28,185.0,25.0020533881,30.0,985.0,RUS
2008-439,Umag,Clay,28,175.0,24.985626283400002,101.0,472.0,ARG
2008-439,Umag,Clay,28,188.0,24.662559890500003,15.0,1375.0,ESP
2008-439,Umag,Clay,28,185.0,25.0020533881,30.0,985.0,RUS
2008-439,Umag,Clay,28,188.0,24.662559890500003,15.0,1375.0,ESP
2008-533,Costa Do Sauipe,Clay,32,190.0,31.457905544099997,18.0,1505.0,ESP
2008-533,Costa Do Sauipe,Clay,32,180.0,27.8822724162,110.0,380.0,FRA
2008-533,Costa Do Sauipe,Clay,32,180.0,29.839835729,70.0,535.0,ESP
2008-533,Costa Do Sauipe,Clay,32,185.0,28.741957563299998,76.0,512.0,ARG
2008-533,Costa Do Sauipe,Clay,32,183.0,21.8042436687,154.0,271.0,ARG
2008-533,Costa Do Sauipe,Clay,32,183.0,28.449007529099998,81.0,495.0,AUS
2008-533,Costa Do Sauipe,Clay,32,188.0,31.4962354552,112.0,379.0,ECU
2008-533,Costa Do Sauipe,Clay,32,178.0,26.398357289499998,283.0,134.0,ARG
2008-533,Costa Do Sauipe,Clay,32,175.0,27.2087611225,51.0,621.0,ESP
2008-533,Costa Do Sauipe,Clay,32,178.0,20.720054757,93.0,439.0,ITA
2008-533,Costa Do Sauipe,Clay,32,183.0,25.0212183436,74.0,517.0,ARG
2008-533,Costa Do Sauipe,Clay,32,183.0,23.726214921300002,96.0,429.0,CZE
2008-533,Costa Do Sauipe,Clay,32,183.0,26.4339493498,41.0,731.0,ITA
2008-533,Costa Do Sauipe,Clay,32,175.0,26.078028747399998,,,ARG
2008-533,Costa Do Sauipe,Clay,32,180.0,25.273100616,101.0,416.0,SRB
2008-533,Costa Do Sauipe,Clay,32,183.0,22.4750171116,31.0,965.0,ESP
2008-533,Costa Do Sauipe,Clay,32,190.0,31.457905544099997,18.0,1505.0,ESP
2008-533,Costa Do Sauipe,Clay,32,180.0,29.839835729,70.0,535.0,ESP
2008-533,Costa Do Sauipe,Clay,32,183.0,21.8042436687,154.0,271.0,ARG
2008-533,Costa Do Sauipe,Clay,32,188.0,31.4962354552,112.0,379.0,ECU
2008-533,Costa Do Sauipe,Clay,32,178.0,20.720054757,93.0,439.0,ITA
2008-533,Costa Do Sauipe,Clay,32,183.0,23.726214921300002,96.0,429.0,CZE
2008-533,Costa Do Sauipe,Clay,32,183.0,26.4339493498,41.0,731.0,ITA
2008-533,Costa Do Sauipe,Clay,32,183.0,22.4750171116,31.0,965.0,ESP
2008-533,Costa Do Sauipe,Clay,32,190.0,31.457905544099997,18.0,1505.0,ESP
2008-533,Costa Do Sauipe,Clay,32,188.0,31.4962354552,112.0,379.0,ECU
2008-533,Costa Do Sauipe,Clay,32,178.0,20.720054757,93.0,439.0,ITA
2008-533,Costa Do Sauipe,Clay,32,183.0,22.4750171116,31.0,965.0,ESP
2008-533,Costa Do Sauipe,Clay,32,190.0,31.457905544099997,18.0,1505.0,ESP
2008-533,Costa Do Sauipe,Clay,32,183.0,22.4750171116,31.0,965.0,ESP
2008-533,Costa Do Sauipe,Clay,32,183.0,22.4750171116,31.0,965.0,ESP
2008-433,Las Vegas,Hard,32,183.0,27.5947980835,13.0,1515.0,CHI
2008-433,Las Vegas,Hard,32,185.0,20.0492813142,100.0,427.0,KAZ
2008-433,Las Vegas,Hard,32,206.0,22.8528405202,94.0,452.0,USA
2008-433,Las Vegas,Hard,32,203.0,21.793292265599998,175.0,242.0,RSA
2008-433,Las Vegas,Hard,32,183.0,22.7104722793,17.0,1455.0,CYP
2008-433,Las Vegas,Hard,32,183.0,25.4045174538,111.0,395.0,USA
2008-433,Las Vegas,Hard,32,190.0,19.5071868583,90.0,465.0,LAT
2008-433,Las Vegas,Hard,32,183.0,28.5065023956,72.0,525.0,AUS
2008-433,Las Vegas,Hard,32,188.0,26.636550308,32.0,956.0,ITA
2008-433,Las Vegas,Hard,32,196.0,25.6755646817,126.0,354.0,BIH
2008-433,Las Vegas,Hard,32,201.0,22.5927446954,70.0,529.0,AUS
2008-433,Las Vegas,Hard,32,185.0,30.2696783025,20.0,1418.0,ARG
2008-433,Las Vegas,Hard,32,183.0,30.6611909651,48.0,690.0,GER
2008-433,Las Vegas,Hard,32,198.0,20.4052019165,66.0,543.0,USA
2008-433,Las Vegas,Hard,32,185.0,26.2012320329,61.0,584.0,FRA
2008-433,Las Vegas,Hard,32,180.0,27.019849418200003,24.0,1300.0,AUS
2008-433,Las Vegas,Hard,32,185.0,20.0492813142,100.0,427.0,KAZ
2008-433,Las Vegas,Hard,32,203.0,21.793292265599998,175.0,242.0,RSA
2008-433,Las Vegas,Hard,32,183.0,25.4045174538,111.0,395.0,USA
2008-433,Las Vegas,Hard,32,190.0,19.5071868583,90.0,465.0,LAT
2008-433,Las Vegas,Hard,32,196.0,25.6755646817,126.0,354.0,BIH
2008-433,Las Vegas,Hard,32,185.0,30.2696783025,20.0,1418.0,ARG
2008-433,Las Vegas,Hard,32,198.0,20.4052019165,66.0,543.0,USA
2008-433,Las Vegas,Hard,32,185.0,26.2012320329,61.0,584.0,FRA
2008-433,Las Vegas,Hard,32,203.0,21.793292265599998,175.0,242.0,RSA
2008-433,Las Vegas,Hard,32,183.0,25.4045174538,111.0,395.0,USA
2008-433,Las Vegas,Hard,32,185.0,30.2696783025,20.0,1418.0,ARG
2008-433,Las Vegas,Hard,32,198.0,20.4052019165,66.0,543.0,USA
